source_file,source_path,workbook_title,mode,question_count,status,issue_summary,issue_examples
0001.xlsx,"Assessment Questions/AIE/ADS-114/ADVANCED DATA ANALYSIS WITH MS EXCEL/Advanced Functions (VLOOKUP, INDIRECT..)/Advanced Functions (VLOOKUP, INDIRECT..).xlsx","Advanced Functions (VLOOKUP, INDIRECT..)",structured,20,proper,,
0002.xlsx,Assessment Questions/AIE/ADS-114/ADVANCED DATA ANALYSIS WITH MS EXCEL/Data Table/Data Table.xlsx,Data Table,structured,20,proper,,
0003.xlsx,Assessment Questions/AIE/ADS-114/ADVANCED DATA ANALYSIS WITH MS EXCEL/Goal Seek Analysis/Goal Seek Analysis.xlsx,Goal Seek Analysis,structured,20,proper,,
0004.xlsx,Assessment Questions/AIE/ADS-114/ADVANCED DATA ANALYSIS WITH MS EXCEL/Linear Regression with EXCEL/Linear Regression with EXCEL.xlsx,Linear Regression with EXCEL,structured,20,proper,,
0005.xlsx,Assessment Questions/AIE/ADS-114/ADVANCED DATA ANALYSIS WITH MS EXCEL/MS Excel core Functions/MS Excel core Functions.xlsx,MS Excel core Functions,structured,20,proper,,
0006.xlsx,Assessment Questions/AIE/ADS-114/ADVANCED DATA ANALYSIS WITH MS EXCEL/Pivot Table/Pivot Table.xlsx,Pivot Table,structured,20,proper,,
0007.xlsx,Assessment Questions/AIE/ADS-114/ADVANCED DATA ANALYSIS WITH MS EXCEL/Solving Data Equation with EXCEL/Solving Data Equation with EXCEL.xlsx,Solving Data Equation with EXCEL,structured,20,proper,,
0008.xlsx,Assessment Questions/AIE/ADS-114/AWS CLOUD FOR DATA SCIENCE/AWS Service ( EC2 instance)/AWS Service ( EC2 instance).xlsx,AWS Service ( EC2 instance),structured,20,proper,,
0009.xlsx,"Assessment Questions/AIE/ADS-114/AWS CLOUD FOR DATA SCIENCE/Difference between GCC, Azure,AWS/Difference between GCC, Azure,AWS.xlsx","Difference between GCC, Azure,AWS",structured,20,proper,,
0010.xlsx,Assessment Questions/AIE/ADS-114/AWS CLOUD FOR DATA SCIENCE/Introduction of cloud/Introduction of cloud.xlsx,Introduction of cloud,structured,20,proper,,
0011.xlsx,Assessment Questions/AIE/ADS-114/AZURE FOR DATA SCIENCE/Data Pipeline/Data Pipeline.xlsx,Data Pipeline,structured,20,proper,,
0012.xlsx,Assessment Questions/AIE/ADS-114/AZURE FOR DATA SCIENCE/Introduction to AZURE ML studio/Introduction to AZURE ML studio.xlsx,Introduction to AZURE ML studio,structured,20,proper,,
0013.xlsx,Assessment Questions/AIE/ADS-114/AZURE FOR DATA SCIENCE/ML modeling with Azure/ML modeling with Azure.xlsx,ML modeling with Azure,structured,20,proper,,
0014.xlsx,Assessment Questions/AIE/ADS-114/Gen AI and Agentic AI Essentials/Agentic AI core concepts/Agentic AI core concepts.xlsx,Agentic AI core concepts,structured,20,proper,,
0015.xlsx,Assessment Questions/AIE/ADS-114/Gen AI and Agentic AI Essentials/Autoencoders and its variations/Autoencoders and its variations.xlsx,Autoencoders and its variations,structured,20,proper,,
0016.xlsx,Assessment Questions/AIE/ADS-114/Gen AI and Agentic AI Essentials/Generative Adversarial Networks (GANs) core concepts/Generative Adversarial Networks (GANs) core concepts.xlsx,Generative Adversarial Networks (GANs) core concepts,structured,20,proper,,
0017.xlsx,Assessment Questions/AIE/ADS-114/Gen AI and Agentic AI Essentials/Introduction to Generative AI/Introduction to Generative AI.xlsx,Introduction to Generative AI,structured,20,proper,,
0018.xlsx,Assessment Questions/AIE/ADS-114/Gen AI and Agentic AI Essentials/Orchestration Frameworks/Orchestration Frameworks.xlsx,Orchestration Frameworks,structured,20,proper,,
0019.xlsx,Assessment Questions/AIE/ADS-114/Gen AI and Agentic AI Essentials/Transformers & LLMs/Transformers & LLMs.xlsx,Transformers & LLMs,structured,20,proper,,
0020.xlsx,Assessment Questions/AIE/ADS-114/Introduction to Deep Learning/Artificial Neural Network in Python/Artificial Neural Network in Python.xlsx,Artificial Neural Network in Python,structured,20,proper,,
0021.xlsx,Assessment Questions/AIE/ADS-114/Introduction to Deep Learning/Convolutional Neural Network in Python/Convolutional Neural Network in Python.xlsx,Convolutional Neural Network in Python,structured,20,proper,,
0022.xlsx,"Assessment Questions/AIE/ADS-114/Introduction to Deep Learning/Introduction to Artificial Neural Network, Architecture/Introduction to Artificial Neural Network, Architecture.xlsx","Introduction to Artificial Neural Network, Architecture",structured,20,proper,,
0023.xlsx,"Assessment Questions/AIE/ADS-114/Introduction to Deep Learning/Introduction to Convolutional Neural Network, Architecture/Introduction to Convolutional Neural Network, Architecture.xlsx","Introduction to Convolutional Neural Network, Architecture",structured,20,proper,,
0024.xlsx,Assessment Questions/AIE/ADS-114/ML MODEL DEPLOYMENT WITH FLASK/Flask application – ML Model deployment/Flask application – ML Model deployment.xlsx,Flask application – ML Model deployment,structured,20,proper,,
0025.xlsx,Assessment Questions/AIE/ADS-114/ML MODEL DEPLOYMENT WITH FLASK/Introduction to Flask/Introduction to Flask.xlsx,Introduction to Flask,structured,20,proper,,
0026.xlsx,Assessment Questions/AIE/ADS-114/ML MODEL DEPLOYMENT WITH FLASK/URL and App routing/URL and App routing.xlsx,URL and App routing,structured,20,proper,,
0027.xlsx,Assessment Questions/AIE/ADS-114/REGULAR EXPRESSIONS WITH PYTHON/Regex codes/Regex codes.xlsx,Regex codes,structured,20,proper,,
0028.xlsx,Assessment Questions/AIE/ADS-114/REGULAR EXPRESSIONS WITH PYTHON/Regex Introduction/Regex Introduction.xlsx,Regex Introduction,structured,20,proper,,
0029.xlsx,Assessment Questions/AIE/ADS-114/REGULAR EXPRESSIONS WITH PYTHON/Text extraction with Python Regex/Text extraction with Python Regex.xlsx,Text extraction with Python Regex,structured,20,proper,,
0030.xlsx,Assessment Questions/AIE/ADS-114/SENTIMENT ANALYSIS/Case study_ Sentiment Analysis on Movie Reviews/Case study_ Sentiment Analysis on Movie Reviews.xlsx,Case study_ Sentiment Analysis on Movie Reviews,structured,20,proper,,
0031.xlsx,Assessment Questions/AIE/ADS-114/SENTIMENT ANALYSIS/Introduction to Sentiment Analysis/Introduction to Sentiment Analysis.xlsx,Introduction to Sentiment Analysis,structured,20,proper,,
0032.xlsx,Assessment Questions/AIE/ADS-114/SENTIMENT ANALYSIS/NLTK Package/NLTK Package.xlsx,NLTK Package,structured,20,proper,,
0033.xlsx,Assessment Questions/AIE/ADS-114/TIME SERIES FORECASTING - ARIMA/ARIMA Model/ARIMA Model.xlsx,ARIMA Model,structured,20,proper,,
0034.xlsx,Assessment Questions/AIE/ADS-114/TIME SERIES FORECASTING - ARIMA/Autocorrelation and AIC/Autocorrelation and AIC.xlsx,Autocorrelation and AIC,structured,20,proper,,
0035.xlsx,Assessment Questions/AIE/ADS-114/TIME SERIES FORECASTING - ARIMA/Autoregressive Model (AR)/Autoregressive Model (AR).xlsx,Autoregressive Model (AR),structured,20,proper,,
0036.xlsx,Assessment Questions/AIE/ADS-114/TIME SERIES FORECASTING - ARIMA/Moving Average Model (MA)/Moving Average Model (MA).xlsx,Moving Average Model (MA),structured,20,proper,,
0037.xlsx,Assessment Questions/AIE/ADS-114/TIME SERIES FORECASTING - ARIMA/Stationarity of Time Series/Stationarity of Time Series.xlsx,Stationarity of Time Series,structured,20,proper,,
0038.xlsx,Assessment Questions/AIE/ADS-114/TIME SERIES FORECASTING - ARIMA/Time Series Analysis in Python/Time Series Analysis in Python.xlsx,Time Series Analysis in Python,structured,20,proper,,
0039.xlsx,"Assessment Questions/AIE/ADS-114/TIME SERIES FORECASTING - ARIMA/Trend, Seasonality, cyclical and random/Trend, Seasonality, cyclical and random.xlsx","Trend, Seasonality, cyclical and random",structured,20,proper,,
0040.xlsx,Assessment Questions/AIE/ADS-114/TIME SERIES FORECASTING - ARIMA/What is Time Series_/What is Time Series_.xlsx,What is Time Series_,structured,20,proper,,
0041.xlsx,Assessment Questions/AIE/AIF-128/AI ETHICAL ISSUES AND CONCERNS/Ai And Bias/Ai And Bias.xlsx,Ai And Bias,structured,20,proper,,
0042.xlsx,Assessment Questions/AIE/AIF-128/AI ETHICAL ISSUES AND CONCERNS/Ai And Ethical Concerns/Ai And Ethical Concerns.xlsx,Ai And Ethical Concerns,structured,20,proper,,
0043.xlsx,"Assessment Questions/AIE/AIF-128/AI ETHICAL ISSUES AND CONCERNS/Ai_ Ethics, Bias, And Trust/Ai_ Ethics, Bias, And Trust.xlsx","Ai_ Ethics, Bias, And Trust",structured,20,proper,,
0044.xlsx,Assessment Questions/AIE/AIF-128/AI ETHICAL ISSUES AND CONCERNS/Issues And Concerns Around Ai/Issues And Concerns Around Ai.xlsx,Issues And Concerns Around Ai,structured,20,proper,,
0045.xlsx,Assessment Questions/AIE/AIF-128/ARTIFICIAL INTELLIGENCE OVERVIEW/AI Vs Data Science Vs Machine Learning/AI Vs Data Science Vs Machine Learning.xlsx,AI Vs Data Science Vs Machine Learning,structured,20,proper,,
0046.xlsx,Assessment Questions/AIE/AIF-128/ARTIFICIAL INTELLIGENCE OVERVIEW/Areas Of Artificial Intelligence/Areas Of Artificial Intelligence.xlsx,Areas Of Artificial Intelligence,structured,20,proper,,
0047.xlsx,Assessment Questions/AIE/AIF-128/ARTIFICIAL INTELLIGENCE OVERVIEW/Evolution Of Human Intelligence/Evolution Of Human Intelligence.xlsx,Evolution Of Human Intelligence,structured,20,proper,,
0048.xlsx,Assessment Questions/AIE/AIF-128/ARTIFICIAL INTELLIGENCE OVERVIEW/History Of Artificial Intelligence/History Of Artificial Intelligence.xlsx,History Of Artificial Intelligence,structured,20,proper,,
0049.xlsx,Assessment Questions/AIE/AIF-128/ARTIFICIAL INTELLIGENCE OVERVIEW/What Is Artificial Intelligence_/What Is Artificial Intelligence_.xlsx,What Is Artificial Intelligence_,structured,20,proper,,
0050.xlsx,Assessment Questions/AIE/AIF-128/ARTIFICIAL INTELLIGENCE OVERVIEW/Why Artificial Intelligence Now_/Why Artificial Intelligence Now_.xlsx,Why Artificial Intelligence Now_,structured,20,proper,,
0051.xlsx,Assessment Questions/AIE/AIF-128/COMPUTER VISION INTRODUCTION/Convolution Neural Network (CNN)/Convolution Neural Network (CNN).xlsx,Convolution Neural Network (CNN),structured,20,proper,,
0052.xlsx,Assessment Questions/AIE/AIF-128/COMPUTER VISION INTRODUCTION/Hands-On_ Cat vs Dogs Classification with CNN Network/Hands-On_ Cat vs Dogs Classification with CNN Network.xlsx,Hands-On_ Cat vs Dogs Classification with CNN Network,structured,20,proper,,
0053.xlsx,Assessment Questions/AIE/AIF-128/COMPUTER VISION INTRODUCTION/Image Basics/Image Basics.xlsx,Image Basics,structured,20,proper,,
0054.xlsx,Assessment Questions/AIE/AIF-128/COMPUTER VISION INTRODUCTION/Image Classification with CNN/Image Classification with CNN.xlsx,Image Classification with CNN,structured,20,proper,,
0055.xlsx,Assessment Questions/AIE/AIF-128/DEEP LEARNING INTRODUCTION/Applications of Deep Learning Networks/Applications of Deep Learning Networks.xlsx,Applications of Deep Learning Networks,structured,20,proper,,
0056.xlsx,Assessment Questions/AIE/AIF-128/DEEP LEARNING INTRODUCTION/Deep Neural Network/Deep Neural Network.xlsx,Deep Neural Network,structured,20,proper,,
0057.xlsx,Assessment Questions/AIE/AIF-128/DEEP LEARNING INTRODUCTION/Feature Learning in Deep Networks/Feature Learning in Deep Networks.xlsx,Feature Learning in Deep Networks,structured,20,proper,,
0058.xlsx,Assessment Questions/AIE/AIF-128/DEEP LEARNING INTRODUCTION/Machine Learning vs Deep Learning/Machine Learning vs Deep Learning.xlsx,Machine Learning vs Deep Learning,structured,20,proper,,
0059.xlsx,Assessment Questions/AIE/AIF-128/NATURAL LANGUAGE PROCESSING (NLP)/Bag of Words Models/Bag of Words Models.xlsx,Bag of Words Models,structured,20,proper,,
0060.xlsx,Assessment Questions/AIE/AIF-128/NATURAL LANGUAGE PROCESSING (NLP)/Hands-On_ BERT Algorithm/Hands-On_ BERT Algorithm.xlsx,Hands-On_ BERT Algorithm,structured,20,proper,,
0061.xlsx,Assessment Questions/AIE/AIF-128/NATURAL LANGUAGE PROCESSING (NLP)/NLP Introduction/NLP Introduction.xlsx,NLP Introduction,structured,20,proper,,
0062.xlsx,Assessment Questions/AIE/AIF-128/NATURAL LANGUAGE PROCESSING (NLP)/Word Embedding/Word Embedding.xlsx,Word Embedding,structured,20,proper,,
0063.xlsx,Assessment Questions/AIE/AIF-128/TENSORFLOW FOUNDATION/Hands-On_ ML modeling with TensorFlow/Hands-On_ ML modeling with TensorFlow.xlsx,Hands-On_ ML modeling with TensorFlow,structured,20,proper,,
0064.xlsx,Assessment Questions/AIE/AIF-128/TENSORFLOW FOUNDATION/TensorFlow Structure and Modules/TensorFlow Structure and Modules.xlsx,TensorFlow Structure and Modules,structured,20,proper,,
0065.xlsx,Assessment Questions/AIE/BDF-117/BIG DATA INTRODUCTION/Big Data Analytics Introduction/Big Data Analytics Introduction.xlsx,Big Data Analytics Introduction,structured,20,proper,,
0066.xlsx,Assessment Questions/AIE/BDF-117/BIG DATA INTRODUCTION/Big Data Overview/Big Data Overview.xlsx,Big Data Overview,structured,20,proper,,
0067.xlsx,Assessment Questions/AIE/BDF-117/BIG DATA INTRODUCTION/Components of Hadoop Ecosystem/Components of Hadoop Ecosystem.xlsx,Components of Hadoop Ecosystem,structured,20,proper,,
0068.xlsx,Assessment Questions/AIE/BDF-117/BIG DATA INTRODUCTION/Five Vs of Big Data/Five Vs of Big Data.xlsx,Five Vs of Big Data,structured,20,proper,,
0069.xlsx,Assessment Questions/AIE/BDF-117/BIG DATA INTRODUCTION/Introduction to Hadoop/Introduction to Hadoop.xlsx,Introduction to Hadoop,structured,20,proper,,
0070.xlsx,Assessment Questions/AIE/BDF-117/BIG DATA INTRODUCTION/What is Big Data and Hadoop/What is Big Data and Hadoop.xlsx,What is Big Data and Hadoop,structured,20,proper,,
0071.xlsx,"Assessment Questions/AIE/BDF-117/HDFS AND MAP REDUCE/Combiners, Shuffle, and Sort/Combiners, Shuffle, and Sort.xlsx","Combiners, Shuffle, and Sort",structured,20,proper,,
0072.xlsx,Assessment Questions/AIE/BDF-117/HDFS AND MAP REDUCE/Distributed Processing with Map Reduce/Distributed Processing with Map Reduce.xlsx,Distributed Processing with Map Reduce,structured,20,proper,,
0073.xlsx,Assessment Questions/AIE/BDF-117/HDFS AND MAP REDUCE/HDFS – Big Data Storage/HDFS – Big Data Storage.xlsx,HDFS – Big Data Storage,structured,20,proper,,
0074.xlsx,"Assessment Questions/AIE/BDF-117/HDFS AND MAP REDUCE/Key Terms_ Output Format, Partitioners,/Key Terms_ Output Format, Partitioners,.xlsx","Key Terms_ Output Format, Partitioners,",structured,20,proper,,
0075.xlsx,Assessment Questions/AIE/BDF-117/HDFS AND MAP REDUCE/Mapping and reducing stages concepts/Mapping and reducing stages concepts.xlsx,Mapping and reducing stages concepts,structured,20,proper,,
0076.xlsx,Assessment Questions/AIE/BDF-117/PYSPARK FOUNDATION/Aggregating Data with Pair RDDs/Aggregating Data with Pair RDDs.xlsx,Aggregating Data with Pair RDDs,structured,20,proper,,
0077.xlsx,Assessment Questions/AIE/BDF-117/PYSPARK FOUNDATION/PySpark Introduction/PySpark Introduction.xlsx,PySpark Introduction,structured,20,proper,,
0078.xlsx,Assessment Questions/AIE/BDF-117/PYSPARK FOUNDATION/Resilient distributed datasets (RDD)/Resilient distributed datasets (RDD).xlsx,Resilient distributed datasets (RDD),structured,20,proper,,
0079.xlsx,Assessment Questions/AIE/BDF-117/PYSPARK FOUNDATION/Working with RDDs in PySpark/Working with RDDs in PySpark.xlsx,Working with RDDs in PySpark,structured,20,proper,,
0080.xlsx,Assessment Questions/AIE/BDF-117/SPARK SQL and HADOOP HIVE/Introducing Spark SQL/Introducing Spark SQL.xlsx,Introducing Spark SQL,structured,20,proper,,
0081.xlsx,Assessment Questions/AIE/BDF-117/SPARK SQL and HADOOP HIVE/Spark SQL vs Hadoop Hive/Spark SQL vs Hadoop Hive.xlsx,Spark SQL vs Hadoop Hive,structured,20,proper,,
0082.xlsx,Assessment Questions/AIE/BIA - 119/Connecting to Various Data Sources_/Connecting to a CSV File/Connecting to a CSV File.xlsx,Connecting to a CSV File,structured,20,proper,,
0083.xlsx,Assessment Questions/AIE/BIA - 119/Connecting to Various Data Sources_/Connecting to a Webpage/_Connecting to a Webpage.xlsx,_Connecting to a Webpage,structured,20,proper,,
0084.xlsx,Assessment Questions/AIE/BIA - 119/Connecting to Various Data Sources_/Create Data Model/_Create Data Model.xlsx,_Create Data Model,structured,20,proper,,
0085.xlsx,Assessment Questions/AIE/BIA - 119/Connecting to Various Data Sources_/Creating Columns from Examples/_Creating Columns from Examples.xlsx,_Creating Columns from Examples,structured,20,proper,,
0086.xlsx,Assessment Questions/AIE/BIA - 119/Connecting to Various Data Sources_/Creating Conditional Columns/Creating Conditional Columns.xlsx,Creating Conditional Columns,structured,20,proper,,
0087.xlsx,Assessment Questions/AIE/BIA - 119/Connecting to Various Data Sources_/Extracting Characters/Extracting Characters.xlsx,Extracting Characters,structured,20,proper,,
0088.xlsx,Assessment Questions/AIE/BIA - 119/Connecting to Various Data Sources_/Splitting and Merging Columns/Splitting and Merging Columns.xlsx,Splitting and Merging Columns,structured,20,proper,,
0089.xlsx,Assessment Questions/AIE/BIA - 119/Data Transformation Techniques/Changing Data Types/Changing Data Types.xlsx,Changing Data Types,structured,20,proper,,
0090.xlsx,Assessment Questions/AIE/BIA - 119/Data Transformation Techniques/Connecting to Our Data Source/Connecting to Our Data Source.xlsx,Connecting to Our Data Source,structured,20,proper,,
0091.xlsx,Assessment Questions/AIE/BIA - 119/Data Transformation Techniques/Creating Our Initial Project File/Creating Our Initial Project File.xlsx,Creating Our Initial Project File,structured,20,proper,,
0092.xlsx,Assessment Questions/AIE/BIA - 119/Data Transformation Techniques/Data Cleansing and Manipulation_/Data Cleansing and Manipulation_.xlsx,Data Cleansing and Manipulation_,structured,20,proper,,
0093.xlsx,Assessment Questions/AIE/BIA - 119/Data Transformation Techniques/Editing Rows/Editing Rows.xlsx,Editing Rows,structured,20,proper,,
0094.xlsx,Assessment Questions/AIE/BIA - 119/Data Transformation Techniques/Exploring Query Editor/Exploring Query Editor.xlsx,Exploring Query Editor,structured,20,proper,,
0095.xlsx,Assessment Questions/AIE/BIA - 119/Data Transformation Techniques/Replacing Values/Replacing Values.xlsx,Replacing Values,structured,20,proper,,
